ISPB,Short_Name,Code_Number,Participation_in_Compe,Main_Access,Full_Name,Start_Date
03046391,UNIPRIME COOPCENTRAL LTDA.,099,Yes,RSFN,UNIPRIME CENTRAL NACIONAL - CENTRAL NACIONAL DE COOPERATIVA DE CREDITO          ,"Jan 11, 2011"
03215790,BCO TOYOTA DO BRASIL S.A.,387,No,RSFN,Banco Toyota do Brasil S.A.                                                     ,"Jul 21, 2020"
03311443,PARATI - CFI S.A.,326,No,RSFN,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.                             ","Jan 07, 2020"
03323840,BCO ALFA S.A.,025,Yes,RSFN,Banco Alfa S.A.                                                                 ,"Apr 22, 2002"
03532415,BCO ABN AMRO S.A.,075,No,RSFN,Banco ABN Amro S.A.                                                             ,"Nov 11, 2005"
03609817,BCO CARGILL S.A.,040,No,RSFN,Banco Cargill S.A.                                                              ,"Apr 22, 2002"
03751794,TERRA INVESTIMENTOS DTVM,307,No,RSFN,Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.        ,"Oct 25, 2018"
03844699,CECM DOS TRAB.PORT. DA G.VITOR,385,No,RSFN,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES PORTUARIOS DA GRANDE V,"Mar 08, 2022"
03881423,SOCINAL S.A. CFI,425,No,RSFN,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                            ","Jul 27, 2021"
03973814,SERVICOOP,190,No,RSFN,SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS E MUNICIPAI,"Oct 16, 2017"
04062902,OZ CORRETORA DE CÂMBIO S.A.,296,No,RSFN,OZ CORRETORA DE CÂMBIO S.A.                                                     ,"Feb 11, 2019"
04184779,BANCO BRADESCARD,063,Yes,RSFN,Banco Bradescard S.A.                                                           ,"Apr 22, 2002"
04257795,NOVA FUTURA CTVM LTDA.,191,No,RSFN,Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.                    ,"Jun 22, 2017"
04307598,FIDUCIA SCMEPP LTDA,382,No,RSFN,FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE L,"Jul 31, 2020"
04332281,GOLDMAN SACHS DO BRASIL BM S.A,064,No,RSFN,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.                                     ,"Apr 22, 2002"
04391007,CAMARA INTERBANCARIA DE PAGAMENTOS - CIP,n/a,No,RSFN,CIP S.A                                                                         ,"Nov 27, 2002"
04546162,CCM SERV. PÚBLICOS SP,459,No,RSFN,COOPERATIVA DE CRÉDITO MÚTUO DE SERVIDORES PÚBLICOS DO ESTADO DE SÃO PAULO - CRE,"Nov 04, 2021"
04632856,CREDISIS CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.,097,Yes,RSFN,Credisis - Central de Cooperativas de Crédito Ltda.                             ,"Feb 08, 2011"
04715685,CCM DESP TRÂNS SC E RS,016,No,RSFN,COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RI,"May 08, 2012"
04814563,BCO AFINZ S.A. - BM,299,No,RSFN,BANCO AFINZ S.A. - BANCO MÚLTIPLO                                               ,"Dec 03, 2018"
